Code,Type,Sec,Units,,Time,Place,,Max,Enr,WL,Req,Nor,Rstr,Textbooks,Web,Status
44000,Lec,A,4,,    TBA,ON LINE,,198,67,0,101,0,A,Bookstore,,OPEN
44020,Lec,A,4,,    TBA,ON LINE,,406,244,0,341,0,A,Bookstore,,OPEN
44110,Lec,A,4,,MWF   8:00- 8:50,VRTL REMOTE,,339,240,0,382,305,A,Bookstore,,NewOnly
44140,Lec,B,4,,    TBA,ON LINE,,448,411,0,542,305,A,Bookstore,,NewOnly
44275,Lec,A,4,,MWF   6:00- 6:50p,VRTL REMOTE,,339,264,0,368,305,A,Bookstore,,NewOnly
44290,Lec,B,4,,    TBA,ON LINE,,448,240,5,348,305,A,Bookstore,,NewOnly
44355,Lec,A,4,,MWF   4:00- 4:50p,VRTL REMOTE,,332,134,0,192,99,A and N,Bookstore,,OPEN
44380,Lec,B,4,,MWF   8:00- 8:50,VRTL REMOTE,,107,52,0,95,98,A and N,Bookstore,,NewOnly
44386,Lec,C,4,,MWF   2:00- 2:50p,VRTL REMOTE,,257,99,0,127,98,A and N,Bookstore,,OPEN
44415,Lec,A,4,,MWF   1:00- 1:50p,VRTL REMOTE,,114,107,0,165,7,A and N,Bookstore,,NewOnly
44426,Lec,B,4,,MWF   12:00-12:50p,VRTL REMOTE,,104,95,0,135,7,A and N,Bookstore,,OPEN
44431,Lec,C,4,,MWF   3:00- 3:50p,VRTL REMOTE,,114,76,0,81,8,A and N,Bookstore,,OPEN
44435,Lec,A,4,,MWF   5:00- 5:50p,VRTL REMOTE,,100,100,2,146,12,A and N,Bookstore,,Waitl
44440,Lec,B,4,,MWF   4:00- 4:50p,VRTL REMOTE,,100,100,1,125,12,A and N,Bookstore,,Waitl
44450,Lec,C,4,,MWF   2:00- 2:50p,VRTL REMOTE,,100,80,0,97,12,A and N,Bookstore,,OPEN
44460,Lec,D,4,,MWF   2:00- 2:50p,VRTL REMOTE,,106,59,0,80,12,A and N,Bookstore,,OPEN
44465,Lec,E,4,,MWF   11:00-11:50,VRTL REMOTE,,100,100,3,127,12,A and N,Bookstore,,Waitl
44470,Lec,F,4,,MWF   3:00- 3:50p,VRTL REMOTE,,102,43,0,43,12,A and N,Bookstore,,OPEN
44480,Lec,G,4,,MWF   11:00-11:50,VRTL REMOTE,,110,19,0,21,12,A and N,Bookstore,,OPEN
44495,Lec,H,4,,MWF   3:00- 3:50p,VRTL REMOTE,,95,7,0,11,12,A and N,Bookstore,,OPEN
44505,Lec,A,4,,MWF   4:00- 4:50p,VRTL REMOTE,,180,164,0,218,11,A and N,Bookstore,,OPEN
44520,Lec,B,4,,MWF   1:00- 1:50p,VRTL REMOTE,,180,180,13,251,11,A and N,Bookstore,,Waitl
44580,Lec,A,4,,    TBA,ON LINE,,399,93,0,175,0,A and N,Bookstore,,OPEN
44594,Lec,A,4,,    TBA,ON LINE,,294,257,0,331,0,A and N,Bookstore,,OPEN
44605,Lec,A,4,,MWF   8:00- 8:50,VRTL REMOTE,,49,25,7,52,30,A and L,Bookstore,,NewOnly
44606,Lab,AL,0,,TuTh   8:00- 8:50,VRTL REMOTE,,49,25,7,40,30,A and L,Bookstore,,NewOnly
44607,Lec,B,4,,MWF   11:00-11:50,VRTL REMOTE,,50,45,3,87,30,A and L,Bookstore,,NewOnly
44608,Lab,BL,0,,    TBA,ON LINE,,50,45,3,51,30,A and L,Bookstore,,NewOnly
44609,Lec,C,4,,MWF   12:00-12:50p,VRTL REMOTE,,50,33,7,53,30,A and L,Bookstore,,NewOnly
44610,Lab,CL,0,,    TBA,ON LINE,,50,33,7,40,30,A and L,Bookstore,,NewOnly
44614,Lec,A,4,,MWF   12:00-12:50p,VRTL REMOTE,,50,46,8,92,10,A and L,Bookstore,,NewOnly
44615,Lab,AL,0,,TuTh   1:00- 1:50p,VRTL REMOTE,,50,46,8,61,10,A and L,Bookstore,,NewOnly
44616,Lec,A,4,,MWF   11:00-11:50,VRTL REMOTE,,47,28,0,44,21,A and L,Bookstore,,NewOnly
44620,Lec,C,4,,MWF   9:00- 9:50,VRTL REMOTE,,54,54,9,72,22,A and L,Bookstore,,FULL
44627,Lec,D,4,,MWF   12:00-12:50p,VRTL REMOTE,,54,26,0,30,21,A and L,Bookstore,,OPEN
44632,Lec,A,4,,MWF   3:00- 3:50p,VRTL REMOTE,,46,45,n/a,78,5,A and L,Bookstore,,NewOnly
44634,Lab,AL,1,,TuTh   4:00- 4:50p,VRTL REMOTE,,46,44,n/a,50,5,A and L,Bookstore,,NewOnly
44635,Lec,B,4,,MWF   12:00-12:50p,VRTL REMOTE,,45,45,off(2),85,2,A and L,Bookstore,,FULL
44638,Lab,BL,1,,TuTh   1:00- 1:50p,VRTL REMOTE,,45,45,off(2),67,2,A and L,Bookstore,,FULL
44639,Lec,C,4,,MWF   8:00- 8:50,VRTL REMOTE,,45,44,n/a,71,5,A and L,Bookstore,,NewOnly
44641,Lab,CL,1,,TuTh   10:00-10:50,VRTL REMOTE,,45,44,n/a,50,5,A and L,Bookstore,,NewOnly
44646,Lec,A,4,,MWF   4:00- 4:50p,VRTL REMOTE,,62,47,0,83,18,A and L,Bookstore,,NewOnly
44648,Lec,B,4,,MWF   11:00-11:50,VRTL REMOTE,,64,50,2,70,18,A and L,Bookstore,,NewOnly
44650,Lec,D,4,,MWF   10:00-10:50,VRTL REMOTE,,45,17,n/a,19,33,A and L,Bookstore,,NewOnly
44652,Lab,DL,1,,TuTh   11:00-11:50,VRTL REMOTE,,45,17,n/a,9,33,A and L,Bookstore,,NewOnly
44653,Lec,A,4,,MWF   9:00- 9:50,VRTL REMOTE,,35,20,0,33,12,A and L,Bookstore,,OPEN
44690,Lec,A,4,,MWF   10:00-10:50,VRTL REMOTE,,35,35,2,52,0,A and L,Bookstore,,Waitl
44695,Lec,A,4,,MWF   4:00- 4:50p,VRTL REMOTE,,54,54,7,85,1,A and L,Bookstore,,Waitl
44697,Lec,B,4,,MWF   2:00- 2:50p,VRTL REMOTE,,59,20,0,34,1,A and L,Bookstore,,OPEN
44712,Lec,C,4,,MWF   9:00- 9:50,VRTL REMOTE,,60,59,4,82,2,A and L,Bookstore,,NewOnly
44715,Lec,A,5,,MTuWThF   2:00- 2:50p,VRTL REMOTE,,15,7,n/a,12,0,X,Bookstore,,OPEN
44721,Lec,A,4,,MWF   11:00-11:50,VRTL REMOTE,,60,48,0,42,4,A and L,Bookstore,,OPEN
44725,Lec,C,4,,MWF   10:00-10:50,VRTL REMOTE,,86,86,0,139,0,A and L,Bookstore,,Waitl
44727,Lec,A,4,,MWF   11:00-11:50,VRTL REMOTE,,85,84,11,120,0,A and L,Bookstore,,Waitl
44746,Lec,B,4,,MWF   4:00- 4:50p,VRTL REMOTE,,70,67,2,95,18,A and L,Bookstore,,NewOnly
44748,Lec,C,4,,MWF   1:00- 1:50p,VRTL REMOTE,,72,67,1,76,18,A and L,Bookstore,,NewOnly
44753,Lec,A,4,,MWF   11:00-11:50,VRTL REMOTE,,58,15,0,22,0,A and L,Bookstore,,OPEN
44757,Lec,C,4,,MWF   6:00- 6:50p,VRTL REMOTE,,59,59,8,75,0,A and L,Bookstore,,Waitl
44760,Lec,A,4,,MWF   5:00- 5:50p,VRTL REMOTE,,45,29,0,38,0,A and L,Bookstore,,OPEN
44765,Lec,B,4,,MWF   10:00-10:50,VRTL REMOTE,,60,47,0,61,2,A and L,Bookstore,,OPEN
44779,Lec,D,4,,MWF   12:00-12:50p,VRTL REMOTE,,60,58,0,76,2,A and L,Bookstore,,NewOnly
44781,Lec,A,4,,MWF   2:00- 2:50p,VRTL REMOTE,,59,59,7,87,0,A and L,Bookstore,,Waitl
44783,Lec,B,4,,MWF   1:00- 1:50p,VRTL REMOTE,,47,47,6,59,0,A and L,Bookstore,,Waitl
44785,Lec,A,5,,MTuWThF   10:00-10:50,VRTL REMOTE,,0,3,n/a,5,0,X,Bookstore,,FULL
44795,Lec,A,4,,MWF   2:00- 2:50p,VRTL REMOTE,,50,50,8,80,0,A and L,Bookstore,,FULL
44805,Lec,A,4,,MWF   9:00- 9:50,VRTL REMOTE,,60,60,1,68,0,A and L,Bookstore,,Waitl
44825,Lec,A,2,,M   2:00- 3:50p,VRTL REMOTE,,35,1,0,9,0,A and D,Bookstore,,OPEN
44826,Fld,A1,0,,W   2:00- 3:50p,VRTL REMOTE,,35,1,0,4,0,,Bookstore,,OPEN
44827,Tut,A2,0,,Tu   9:00- 9:50,VRTL REMOTE,,35,1,0,1,0,,Bookstore,,OPEN
44830,Sem,A,2,,Tu   7:00- 8:20p,VRTL REMOTE,,36,12,0,19,0,A and D,Bookstore,,OPEN
44835,Lec,A,4,,MWF   10:00-10:50,VRTL REMOTE,,20,20,3,35,0,A and L,Bookstore,,FULL
44840,Lec,B,4,,MWF   11:00-11:50,VRTL REMOTE,,20,20,4,30,0,A and L,Bookstore,,FULL
44900,Res,A,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44901,Res,B,4-Feb,,    TBA,TBA,,3,0,n/a,1,0,X,Bookstore,,OPEN
44902,Res,C,4-Feb,,    TBA,TBA,,3,0,n/a,0,0,X,Bookstore,,OPEN
44903,Res,D,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44904,Res,E,4-Feb,,    TBA,TBA,,20,0,n/a,0,0,X,Bookstore,,OPEN
44906,Res,F,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44907,Res,G,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44908,Res,H,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44910,Res,I,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44912,Res,J,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44914,Res,K,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44915,Res,L,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44916,Res,M,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44918,Res,N,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44919,Res,O,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44920,Res,P,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44921,Res,Q,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44922,Res,R,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44923,Res,S,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44926,Res,T,4-Feb,,    TBA,TBA,,4,0,n/a,0,0,X,Bookstore,,OPEN
44928,Res,U,4-Feb,,    TBA,TBA,,4,0,n/a,0,0,X,Bookstore,,OPEN
44929,Res,V,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44930,Res,W,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44931,Res,X,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44932,Res,Y,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44938,Res,Z,4-Feb,,    TBA,TBA,,3,0,n/a,0,0,X,Bookstore,,OPEN
44939,Res,AA,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44940,Res,BB,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44944,Res,CC,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44946,Res,DD,4-Feb,,    TBA,TBA,,5,1,n/a,1,0,X,Bookstore,,OPEN
44947,Res,EE,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44948,Res,FF,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
