Code,Type,Sec,Units,Instructor,Time,Place,Final,Max,Enr,WL,Req,Nor,Rstr,Textbooks,Web,Status
44000,Lec,A,4,LEHMAN R.,    TBA,ON LINE,    TBA,198,67,0,101,0,A,Bookstore,,OPEN
44020,Lec,A,4,LEHMAN R.,    TBA,ON LINE,    TBA,406,244,0,341,0,A,Bookstore,,OPEN
44022,Dis,A1,0,STAFF,M   8:00- 8:50 ,VRTL REMOTE,,0,0,n/a,2,0,A,Bookstore,,FULL
44023,Dis,A2,0,STAFF,W   11:00-11:50 ,VRTL REMOTE,,100,14,0,17,0,A,Bookstore,,OPEN
44024,Dis,A3,0,STAFF,F   8:00- 8:50 ,VRTL REMOTE,,0,0,n/a,0,0,A,Bookstore,,FULL
44025,Dis,A4,0,STAFF,M   10:00-10:50 ,VRTL REMOTE,,102,89,0,100,0,A,Bookstore,,OPEN
44031,Dis,A5,0,STAFF,W   10:00-10:50 ,VRTL REMOTE,,102,100,0,103,0,A,Bookstore,,OPEN
44034,Dis,A6,0,STAFF,F   10:00-10:50 ,VRTL REMOTE,,102,41,0,51,0,A,Bookstore,,OPEN
44110,Lec,A,4,DELLACA R.,MWF   8:00- 8:50 ,VRTL REMOTE,Mon Dec 14 8:00-10:00am,339,240,0,382,305,A,Bookstore,,NewOnly
44115,Dis,A1,0,STAFF,WF   11:00-11:50 ,VRTL REMOTE,,59,59,1,67,51,A,Bookstore,,Waitl
44116,Dis,A2,0,STAFF,WF   12:00-12:50p,VRTL REMOTE,,59,59,0,63,51,A,Bookstore,,Waitl
44117,Dis,A3,0,STAFF,WF   4:00- 4:50p,VRTL REMOTE,,59,52,0,60,51,A,Bookstore,,NewOnly
44119,Dis,A4,0,STAFF,WF   3:00- 3:50p,VRTL REMOTE,,42,42,0,45,42,A,Bookstore,,Waitl
44135,Dis,A5,0,STAFF,TuTh   12:00-12:50p,VRTL REMOTE,,60,21,0,24,55,A,Bookstore,,NewOnly
44137,Dis,A6,0,STAFF,TuTh   3:00- 3:50p,VRTL REMOTE,,60,7,0,9,55,A,Bookstore,,NewOnly
44140,Lec,B,4,YOUSSEFPOUR H.,    TBA,ON LINE,    TBA,448,411,0,542,305,A,Bookstore,,NewOnly
44141,Dis,B1,0,STAFF,TuTh   5:00- 5:50p,VRTL REMOTE,,60,60,0,68,44,A,Bookstore,,Waitl
44145,Dis,B2,0,STAFF,MW   12:00-12:50p,VRTL REMOTE,,60,60,1,59,43,A,Bookstore,,Waitl
44150,Dis,B3,0,STAFF,MW   1:00- 1:50p,VRTL REMOTE,,60,59,0,65,44,A,Bookstore,,NewOnly
